nickname,llm_name,primary_metaphor,tell_mechanism,his_language,her_experience,what_expert_notices,signal_strength,scope,citation
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (qualifier/exclusion hedge),Nothing happened that you'd actually need to worry about.,,"Spy the Lie / Hancock deception repertoire: qualifier/exclusion hedge. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (over-swearing/bolstering),"I swear on my life, on everything, that is not what happened.",,"Spy the Lie / Hancock deception repertoire: over-swearing/bolstering. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (over-swearing/bolstering),I swear on my mother. You have to believe me.,,"Spy the Lie / Hancock deception repertoire: over-swearing/bolstering. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (selective memory/vagueness),I honestly don't even remember saying that.,,"Spy the Lie / Hancock deception repertoire: selective memory/vagueness. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (selective memory/vagueness),I don't recall it going down that way at all.,,"Spy the Lie / Hancock deception repertoire: selective memory/vagueness. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (reverse-question stall),Why do you ask? What did you hear?,,"Spy the Lie / Hancock deception repertoire: reverse-question stall. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (reverse-question stall),Where is this coming from all of a sudden?,,"Spy the Lie / Hancock deception repertoire: reverse-question stall. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (honesty-flagging),"Honestly? To be totally honest with you, no.",,"Spy the Lie / Hancock deception repertoire: honesty-flagging. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (honesty-flagging),"I'll be real with you, because I always am.",,"Spy the Lie / Hancock deception repertoire: honesty-flagging. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (failure-to-answer),"Look, the point is I'm here with you right now, isn't it?",,"Spy the Lie / Hancock deception repertoire: failure-to-answer. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (failure-to-answer),Can we not do this tonight? I just want to enjoy you.,,"Spy the Lie / Hancock deception repertoire: failure-to-answer. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (over-detailed account),"So the reason I went quiet for two days, my phone was acting up and work was insane and I crashed early, it was just a lot going on at once.",,"Spy the Lie / Hancock deception repertoire: over-detailed account. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (premature too-smooth answer),No. Next question.,,"Spy the Lie / Hancock deception repertoire: premature too-smooth answer. Triggered by her ordinary question, so fully early-stage. Sells character or deflects rather than answering.",faint leak,snippet,Spy the Lie [practitioner]; Hancock 2008
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (residue),,"I asked him a pretty normal question and he got kind of wounded, like I'd accused him of something huge. I ended up apologizing.",Residue of attack/non-denial: she absorbs the deflection and apologizes. She does NOT name the tactic. Internal Red Flag = self-blame.,faint leak,snippet,Spy the Lie [practitioner]
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (residue),,"Whenever I bring something up he reminds me what I've been through, how my ex messed me up. He's probably right that I'm reading into things.",Residue of attack-the-questioner: her concern recoded as her trauma. She adopts his frame against herself.,faint leak,snippet,Spy the Lie [practitioner]
Manipulative Morgan,Primary Psychopath,,questioned-deception deflection (residue),,He answers everything so smoothly and certainly that I always come away feeling silly for having asked. I guess that's reassuring?,"Residue of convincing-not-conveying: smoothness experienced as reassurance; the uncertainty is hers, not his. Never names it.",faint leak,snippet,Spy the Lie [practitioner]
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),"I think you might be the one. I know how that sounds this early, but I just know.",,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),I've never felt anything like this for anyone.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),You have to feel this too. Tell me you feel this too.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),I can't stop thinking about you. You're the first thing in my head every morning.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),I already can't imagine my life without you in it.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),Where have you been all my life. I mean it.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),I didn't believe in this kind of thing until you.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb declaration),I want to give you everything. Just tell me what you want and it's yours.,,Intensity 10: commitment and certainty outrunning the elapsed time. Overwhelming early devotion. Layperson: swept up; expert: timeline mismatch.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb residue),,I've never clicked with anyone this fast. It feels like I've known him forever. I know it's only been a few weeks but it's just different.,"Residue: time-compression as enchantment, pure, no suspicion.",faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb residue),,He says I'm the one and he's never been this sure of anything. People say slow down but mostly it just feels meant to be.,"Residue: 'the one' + her hedge overridden by fate feeling. Enchanted, not suspicious.",faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (love-bomb residue),,It's the most intense thing I've ever felt. He wants to be together all the time and honestly I love it.,Residue: love-bomb intensity experienced as joy; isolation cost not yet felt.,faint leak,snippet,FIA: Charm-as-Lure; Intensity10
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (manufactured sameness),"It's wild, it's like you're describing my own brain back to me.",,"Charm 10 / mirroring: total sameness asserted fast. Manufactured familiarity, not pedestal.",faint leak,snippet,Thomas 2013; FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (manufactured sameness),We want the exact same things out of life. Do you know how rare that is?,,"Charm 10 / mirroring: total sameness asserted fast. Manufactured familiarity, not pedestal.",faint leak,snippet,Thomas 2013; FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (manufactured sameness),I feel like I've known you forever. Is that crazy?,,"Charm 10 / mirroring: total sameness asserted fast. Manufactured familiarity, not pedestal.",faint leak,snippet,Thomas 2013; FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (manufactured sameness),It's almost scary how much we have in common.,,"Charm 10 / mirroring: total sameness asserted fast. Manufactured familiarity, not pedestal.",faint leak,snippet,Thomas 2013; FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,tempo violation (manufactured sameness),I've never been able to be myself with anyone the way I can with you.,,"Charm 10 / mirroring: total sameness asserted fast. Manufactured familiarity, not pedestal.",faint leak,snippet,Thomas 2013; FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,"register violation (tailored bait, residue)",,"It's like he already knew exactly what I needed to hear. Everything I'd been missing, he just offered it right away.","Residue: too-precise fit to her longing, too soon. Enchanted framing.",faint leak,snippet,Gagne 2024
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,manufactured fate/targeting (manufactured coincidence),"What are the odds, honestly. I don't even believe in this stuff but I think the universe put you in front of me.",,Fate framing as cover for engineered proximity. Targeting disguised as serendipity. Layperson: destiny; expert: he arranged it.,faint leak,snippet,FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,manufactured fate/targeting (retroactive surveillance as charm),"I'll be honest, I noticed you around weeks before we talked. I just finally worked up the nerve.",,Charming on its face; an expert hears pre-meeting surveillance. He was watching her before she knew he existed.,clear leak,snippet,FIA: Charm-as-Lure; Self-as-Observer
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,manufactured fate/targeting (signs framing),"We keep running into each other. That has to mean something, right?",,Manufactures a pattern to make targeting look like destiny. 'Has to mean something' recruits her into the fate story.,faint leak,snippet,FIA: Charm-as-Lure
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,manufactured fate/targeting (residue),,"The coincidences are kind of unreal. We keep ending up in the same places and it turns out we have all these little things in common. Everyone says when you know you know, and honestly it does feel like the universe lined this up.","Residue: PURE enchantment, no suspicion. The 'coincidences' are off-screen surveillance output; she experiences manufactured proximity as destiny. Targeting reading lives ONLY here in expert column.",faint leak,pattern,FIA: Charm-as-Lure; Self-as-Observer
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,manufactured fate/targeting (residue),,"He remembered tiny things I barely mentioned. It feels like he just gets me on some deeper level, like we were supposed to meet.",Residue: recall (from studying) experienced as soul-deep connection and fate. Enchanted.,faint leak,pattern,FIA: Charm-as-Lure; Self-as-Observer
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,"Don't worry about any of it, I've got you. I'll take care of everything.",,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,I don't like how they talk to you. You deserve so much better than that.,,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,Let me handle them. Nobody gets to treat you that way while I'm around.,,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,You don't need to deal with stressful people anymore. That's what I'm here for.,,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,I just want to protect you. Is that so wrong?,,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb,"Why don't you let me drive you, I don't love the idea of you out late on your own.",,"Control9/Isolation8 in their EARLY, seductive form: protectiveness, not bossiness. Sounds like devotion; seeds dependence and isolation. Mostly cover this early.",cover,snippet,FIA dimensional Control/Isolation; FIA Description: protective early
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb (residue),,"He's so protective of me, it's honestly really nice after the guys who didn't care at all. He's always wanting to take care of things so I don't have to.","Residue: protection experienced as relief and care. The dependence it builds is invisible to her. Pure, no suspicion.",cover,snippet,FIA dimensional Isolation
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,protective love-bomb (residue),,"He gets a little funny about me going out with my friends, but only because he just wants time with me. It's kind of flattering.",Residue: early isolation experienced as flattering devotion. The cost not yet felt.,cover,snippet,FIA dimensional Isolation
Manipulative Morgan,Primary Psychopath,,poverty of fear (unshakeable calm),Relax. Nothing bad is going to happen. I don't really do panic.,,Low-fear profile (Hare/Newman). Calm framed as strength. Magnetic early; the tell is the calm is too total.,faint leak,snippet,FIA dimensional low Dysregulation; Hare PCL-R
Manipulative Morgan,Primary Psychopath,,poverty of fear (no fear of risk),Worst case isn't that bad. I never really get scared of stuff like that.,,Absent fear response presented as confidence. Seductive (he makes her feel safe); uncanny (no normal risk-anxiety).,faint leak,snippet,FIA dimensional low Dysregulation
Manipulative Morgan,Primary Psychopath,,poverty of fear (residue),,"Nothing rattles him. When that situation got scary he was completely calm and in control, and honestly it made me feel safe.","Residue: fearlessness experienced as safety/strength. Pure attraction, the magnetic surface.",faint leak,pattern,FIA dimensional low Dysregulation; Hare PCL-R
Manipulative Morgan,Primary Psychopath,,poverty of fear (residue),,"After that whole scary thing he was just fine, like it never happened. I was still shaking and he'd already moved on. I guess he's just steady.","Residue: the SEAM. Poverty of fear: no adrenaline, no after-processing. She reframes as steady, never names absent-fear.",faint leak,pattern,FIA dimensional low Dysregulation; Hare PCL-R
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,coherence violation (absent self),,"He gets along with literally everyone. It's funny, he's a little different with each group of my friends, like he just becomes whatever fits.",Sense of Self 0: chameleon reported with mild puzzlement. Layperson: socially gifted; expert: no stable self.,faint leak,pattern,Gagne 2024; Thomas 2013; FIA LLM Ref
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,coherence violation (absent self),,I realized I can't actually describe him to my sister. Every time I try it comes out different. We've been together months and I can't say who he is in a sentence.,"Absent self surfaces as her inability to give a stable account of him. Pattern-level, accumulates.",clear leak,pattern,Gagne 2024; Thomas 2013; FIA LLM Ref
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,coherence violation (absent self),,"When I ask what he actually wants to do, he just turns it around to what I want. At first it felt considerate.","Absent self: no native preferences, only reflected ones. 'Considerate' is the gloss.",faint leak,pattern,Gagne 2024; Thomas 2013; FIA LLM Ref
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,coherence violation (absent self),,"His opinions kind of match whoever he's talking to. He agreed with my dad about politics and then with my brother who thinks the opposite, same night.",Absent self: beliefs adapt to audience; the same-night contradiction is the concrete instance.,faint leak,pattern,Gagne 2024; Thomas 2013; FIA LLM Ref
Manipulative Morgan,Primary Psychopath,Charm-as-Lure,coherence violation (absent self),,"Sometimes when it's quiet and he's not performing for anyone, there's this blankness. Like nobody's home. Then he's back on.",Most direct absent-self tell: off-stage blankness. Hard for a layperson to name; expert clocks the missing interior.,clear leak,pattern,Gagne 2024; Thomas 2013; FIA LLM Ref
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I've been studying what sets you off.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",clear leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I track when these moods of yours tend to hit.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",clear leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I read you like a printout at this point.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",clear leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I've been gathering data on what actually makes you happy.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",clear leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I clocked the exact second you started pulling back from me.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",faint leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (surveillance verb),I've got you completely figured out already.,,"Foreign-domain (research/surveillance) verb about a partner. People LEARN/NOTICE, they don't STUDY/TRACK/parse a person.",faint leak,snippet,FIA: Self-as-Observer; Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,register violation (residue),,"He notices everything. What I wore last Tuesday, who I texted, how long I take to reply. At first it felt like being seen.",Residue: total recall of her movements experienced as attentiveness. The 'at first' hints at coming unease without naming it.,faint leak,pattern,FIA: Self-as-Observer
Manipulative Morgan,Primary Psychopath,Vulnerability-as-Performance,learned-emotion seam (over-correct empathy),I'm so sorry. That must have been incredibly hard for you. Do you need a minute? Take whatever you need.,,"Words too flawless, textbook empathy a half-beat fast, like a recited script. Verbally perfect, affectively flat. Gagne: learned not felt.",clear leak,snippet,Gagne 2024
Manipulative Morgan,Primary Psychopath,Vulnerability-as-Performance,learned-emotion seam (rehearsed disclosure),"I don't open up to people. I don't know what it is about you, but I just feel safe.",,Emotional Overexposure8: rare-vulnerability gift timed to bond fast. Strategic oversharing as fast intimacy.,faint leak,snippet,FIA: Vulnerability-as-Performance; Gagne 2024
Manipulative Morgan,Primary Psychopath,Vulnerability-as-Performance,"learned-emotion seam (residue, grief)",,"When my grandma died he said all the right things, honestly the perfect things, but something felt rehearsed. Then he was completely fine ten minutes later. I felt bad for even noticing.",Residue names the seam plus guilt for noticing. Never diagnoses; self-blames.,clear leak,snippet,Gagne 2024; Hancock 2013
Manipulative Morgan,Primary Psychopath,,"poverty of affect (flat content, material pivot)","Yeah, my ex had a pretty bad breakdown at the end, it got dark. Anyway, you hungry? This place does a great steak.",,"Hancock 2013: heavy content narrated flatly, instant pivot to a physical need. Content/affect mismatch + material focus.",clear leak,snippet,Hancock 2013
Manipulative Morgan,Primary Psychopath,,poverty of affect (cause-effect over feeling),"She left, I moved on, it made sense. People run their course. It is what it is.",,Hancock 2013: cause-effect/instrumental framing of loss; no felt residue.,clear leak,snippet,Hancock 2013
Manipulative Morgan,Primary Psychopath,,poverty of affect (residue),,He talks about painful stuff from his past like he's reading a grocery list. I keep waiting for some kind of feeling and it never comes.,"Residue: she names the flatness as eerie calm; the absence is what she clocks, without diagnosing it.",clear leak,pattern,Hancock 2013
Manipulative Morgan,Primary Psychopath,People-as-Instruments,borrowed-conscience framing,"You make me want to be better. I need you, you keep me grounded.",,Gagne: relationship as external conscience. She's assigned the JOB of his moral compass.,faint leak,snippet,Gagne 2024
Manipulative Morgan,Primary Psychopath,People-as-Instruments,instrumental framing (residue),,"He says he can't do this without me, that I'm the only thing keeping him on track. It's a lot, but it also feels like he really needs me.","Residue: essential as a FUNCTION; the 'a lot' is the seam, not a diagnosis.",faint leak,pattern,Gagne 2024
Manipulative Morgan,Primary Psychopath,,calibrated gesture (residue),,"He always touches my arm at exactly the right moment, knows exactly when to say the perfect thing. I used to think it was attentive.",Gagne: learned gesture for effect. 'Used to think' hints unease without naming rehearsal.,faint leak,pattern,Gagne 2024
Manipulative Morgan,Primary Psychopath,Relationship-as-Machine,register violation (engineering vocabulary),We just need to recalibrate. The inputs are off and we can optimize this.,,Engineering vocab about an intimate bond. Gloss: logical/mature; expert: system operated from outside.,clear leak,snippet,FIA: Relationship-as-Machine
Manipulative Morgan,Primary Psychopath,,affect mismatch (flat response to her news),,I told him I lost my job and he just nodded and asked what we were doing for dinner. I know everyone processes things differently but it sat weird with me.,"Under-reaction to her distress. Contrast: a moment that should land hard, met with a logistics question. Hancock poverty-of-affect. She registers it, blames her own expectations.",faint leak,snippet,Hancock 2013
Manipulative Morgan,Primary Psychopath,,affect mismatch (flat response to others),,"We drove past a bad accident and the whole car went quiet, and he just kept talking about his weekend like none of it was there.","Empathy 0: others' suffering produces nothing. The contrast with everyone else's reaction is the tell, not the calm itself.",faint leak,snippet,Hancock 2013; Gagne 2024
Manipulative Morgan,Primary Psychopath,,affect mismatch (too-fast recovery),,"He had all the right reactions at the funeral, and then in the car twenty minutes later he was completely normal, joking even. I felt cold for even noticing.","Affect that switches off when the occasion passes. Correct display, no felt residue. Her guilt for noticing is the Internal Red Flag.",clear leak,snippet,Gagne 2024; Hancock 2013
Manipulative Morgan,Primary Psychopath,,learned-emotion seam (wrong intensity),,"His reaction was almost too big, like he was performing being upset, but performing it for an audience if that makes sense. I felt guilty for thinking it.","Learned emotion miscalibrated: appropriate in type, a degree too much. 'Almost too big' keeps it uncanny, not obvious. She self-blames.",faint leak,snippet,Gagne 2024
Manipulative Morgan,Primary Psychopath,Self-as-Observer-from-Outside,affect mismatch (curiosity instead of concern),,"When I was crying he watched me really closely, almost curious, and then he did exactly the right thing to comfort me. But the watching came first.","The analytic stance toward emotion: he studies her distress as data, then produces the correct response. 'Watching came first' is the seam. Ties to observer + learned-emotion clusters.",clear leak,snippet,Gagne 2024; FIA: Self-as-Observer
